nm, %T
1100.000000, 5.830946
1099.000000, 5.842428
1098.000000, 5.789431
1097.000000, 5.742613
1096.000000, 5.756084
1095.000000, 5.742590
1094.000000, 5.732671
1093.000000, 5.772227
1092.000000, 5.778141
1091.000000, 5.769724
1090.000000, 5.724026
1089.000000, 5.700568
1088.000000, 5.712982
1087.000000, 5.713806
1086.000000, 5.714091
1085.000000, 5.711616
1084.000000, 5.699176
1083.000000, 5.638830
1082.000000, 5.630376
1081.000000, 5.635480
1080.000000, 5.647395
1079.000000, 5.639762
1078.000000, 5.635662
1077.000000, 5.644641
1076.000000, 5.634627
1075.000000, 5.585854
1074.000000, 5.562976
1073.000000, 5.564719
1072.000000, 5.568547
1071.000000, 5.569041
1070.000000, 5.573285
1069.000000, 5.585280
1068.000000, 5.576159
1067.000000, 5.575798
1066.000000, 5.557637
1065.000000, 5.539714
1064.000000, 5.489947
1063.000000, 5.470574
1062.000000, 5.486503
1061.000000, 5.482120
1060.000000, 5.507783
1059.000000, 5.505743
1058.000000, 5.491447
1057.000000, 5.510691
1056.000000, 5.505407
1055.000000, 5.449771
1054.000000, 5.439995
1053.000000, 5.445861
1052.000000, 5.464245
1051.000000, 5.471540
1050.000000, 5.453997
1049.000000, 5.399271
1048.000000, 5.395631
1047.000000, 5.410187
1046.000000, 5.426316
1045.000000, 5.434547
1044.000000, 5.421271
1043.000000, 5.424013
1042.000000, 5.378333
1041.000000, 5.368397
1040.000000, 5.375519
1039.000000, 5.389761
1038.000000, 5.395833
1037.000000, 5.393246
1036.000000, 5.350163
1035.000000, 5.332970
1034.000000, 5.336163
1033.000000, 5.355463
1032.000000, 5.364721
1031.000000, 5.362903
1030.000000, 5.330100
1029.000000, 5.322657
1028.000000, 5.323217
1027.000000, 5.341715
1026.000000, 5.342542
1025.000000, 5.292775
1024.000000, 5.300631
1023.000000, 5.309540
1022.000000, 5.321585
1021.000000, 5.325544
1020.000000, 5.322912
1019.000000, 5.269724
1018.000000, 5.264375
1017.000000, 5.287554
1016.000000, 5.303382
1015.000000, 5.317279
1014.000000, 5.328810
1013.000000, 5.313446
1012.000000, 5.271090
1011.000000, 5.269622
1010.000000, 5.277663
1009.000000, 5.290217
1008.000000, 5.293812
1007.000000, 5.259019
1006.000000, 5.245949
1005.000000, 5.273146
1004.000000, 5.294105
1003.000000, 5.281291
1002.000000, 5.243466
1001.000000, 5.240725
1000.000000, 5.264792
999.000000, 5.281283
998.000000, 5.276143
997.000000, 5.249040
996.000000, 5.240263
995.000000, 5.255012
994.000000, 5.267811
993.000000, 5.241466
992.000000, 5.255934
991.000000, 5.259806
990.000000, 5.251713
989.000000, 5.219924
988.000000, 5.227848
987.000000, 5.258479
986.000000, 5.263228
985.000000, 5.233756
984.000000, 5.243531
983.000000, 5.258856
982.000000, 5.248577
981.000000, 5.222337
980.000000, 5.237802
979.000000, 5.251068
978.000000, 5.242700
977.000000, 5.249348
976.000000, 5.258811
975.000000, 5.264793
974.000000, 5.244100
973.000000, 5.243931
972.000000, 5.272101
971.000000, 5.274040
970.000000, 5.256829
969.000000, 5.240044
968.000000, 5.216007
967.000000, 5.237153
