nm, %T
1100.000000, 30.442724
1099.000000, 30.393966
1098.000000, 30.397588
1097.000000, 30.387692
1096.000000, 30.383779
1095.000000, 30.395414
1094.000000, 30.402934
1093.000000, 30.427443
1092.000000, 30.437105
1091.000000, 30.435190
1090.000000, 30.407609
1089.000000, 30.395000
1088.000000, 30.423080
1087.000000, 30.410746
1086.000000, 30.437798
1085.000000, 30.429715
1084.000000, 30.446742
1083.000000, 30.409221
1082.000000, 30.405611
1081.000000, 30.429525
1080.000000, 30.415533
1079.000000, 30.451697
1078.000000, 30.466327
1077.000000, 30.474954
1076.000000, 30.442727
1075.000000, 30.438623
1074.000000, 30.455802
1073.000000, 30.476229
1072.000000, 30.462720
1071.000000, 30.510789
1070.000000, 30.514187
1069.000000, 30.515388
1068.000000, 30.503397
1067.000000, 30.488174
1066.000000, 30.482639
1065.000000, 30.504922
1064.000000, 30.530803
1063.000000, 30.549929
1062.000000, 30.562918
1061.000000, 30.574535
1060.000000, 30.595466
1059.000000, 30.611554
1058.000000, 30.609732
1057.000000, 30.600336
1056.000000, 30.598559
1055.000000, 30.620636
1054.000000, 30.645418
1053.000000, 30.658092
1052.000000, 30.671062
1051.000000, 30.671967
1050.000000, 30.670490
1049.000000, 30.688968
1048.000000, 30.703622
1047.000000, 30.725264
1046.000000, 30.745717
1045.000000, 30.781652
1044.000000, 30.770054
1043.000000, 30.762314
1042.000000, 30.773387
1041.000000, 30.806373
1040.000000, 30.815196
1039.000000, 30.840277
1038.000000, 30.871653
1037.000000, 30.849335
1036.000000, 30.864564
1035.000000, 30.898466
1034.000000, 30.927184
1033.000000, 30.942812
1032.000000, 30.971353
1031.000000, 30.945940
1030.000000, 30.964008
1029.000000, 30.996798
1028.000000, 31.038184
1027.000000, 31.072554
1026.000000, 31.091795
1025.000000, 31.067940
1024.000000, 31.063924
1023.000000, 31.107425
1022.000000, 31.140183
1021.000000, 31.166286
1020.000000, 31.187807
1019.000000, 31.159697
1018.000000, 31.175362
1017.000000, 31.212258
1016.000000, 31.242507
1015.000000, 31.283991
1014.000000, 31.298407
1013.000000, 31.283898
1012.000000, 31.320992
1011.000000, 31.346031
1010.000000, 31.387823
1009.000000, 31.425013
1008.000000, 31.447675
1007.000000, 31.424217
1006.000000, 31.444167
1005.000000, 31.482940
1004.000000, 31.517624
1003.000000, 31.547134
1002.000000, 31.549066
1001.000000, 31.565850
1000.000000, 31.608594
999.000000, 31.647146
998.000000, 31.645654
997.000000, 31.667748
996.000000, 31.706622
995.000000, 31.756083
994.000000, 31.780253
993.000000, 31.779368
992.000000, 31.813266
991.000000, 31.846857
990.000000, 31.854308
989.000000, 31.895921
988.000000, 31.939923
987.000000, 31.976515
986.000000, 32.005062
985.000000, 31.995635
984.000000, 32.032742
983.000000, 32.082727
982.000000, 32.123248
981.000000, 32.122039
980.000000, 32.159689
979.000000, 32.197244
978.000000, 32.208392
977.000000, 32.236217
976.000000, 32.280231
975.000000, 32.316348
974.000000, 32.330721
973.000000, 32.354507
972.000000, 32.386094
971.000000, 32.399904
970.000000, 32.441438
969.000000, 32.498407
968.000000, 32.539518
967.000000, 32.554743
966.000000, 32.580355
965.000000, 32.601170
964.000000, 32.639241
963.000000, 32.704623
962.000000, 32.751823
961.000000, 32.753356
960.000000, 32.777943
959.000000, 32.812433
958.000000, 32.848286
957.000000, 32.894859
956.000000, 32.938321
955.000000, 32.976307
954.000000, 32.994139
953.000000, 33.030094
952.000000, 33.064925
951.000000, 33.115026
950.000000, 33.174594
949.000000, 33.193086
948.000000, 33.201227
947.000000, 33.257203
946.000000, 33.311974
945.000000, 33.333374
944.000000, 33.375067
943.000000, 33.412046
942.000000, 33.446605
941.000000, 33.487461
940.000000, 33.519884
939.000000, 33.566987
938.000000, 33.603581
937.000000, 33.633950
936.000000, 33.675098
935.000000, 33.707013
934.000000, 33.734896
933.000000, 33.781804
932.000000, 33.836456
931.000000, 33.874988
930.000000, 33.915967
929.000000, 33.950142
928.000000, 33.978169
927.000000, 34.026840
926.000000, 34.074347
925.000000, 34.108412
924.000000, 34.144411
923.000000, 34.197432
922.000000, 34.262571
921.000000, 34.304794
920.000000, 34.311657
919.000000, 34.337550
918.000000, 34.406958
917.000000, 34.459885
916.000000, 34.503886
915.000000, 34.547457
914.000000, 34.565549
913.000000, 34.604352
912.000000, 34.670584
911.000000, 34.717197
910.000000, 34.746553
909.000000, 34.802935
908.000000, 34.851317
907.000000, 34.889001
906.000000, 34.939847
905.000000, 34.987260
904.000000, 35.023821
903.000000, 35.095687
902.000000, 35.174553
901.000000, 35.201514
900.000000, 35.231830
899.000000, 35.277247
898.000000, 35.344475
897.000000, 35.361346
896.000000, 35.365397
895.000000, 35.422747
894.000000, 35.469080
893.000000, 35.492888
892.000000, 35.536769
891.000000, 35.612447
890.000000, 35.654420
889.000000, 35.676995
888.000000, 35.713349
887.000000, 35.749303
886.000000, 35.806046
885.000000, 35.875031
884.000000, 35.929715
883.000000, 35.975604
882.000000, 35.996978
881.000000, 36.026212
880.000000, 36.068106
879.000000, 36.126564
878.000000, 36.202789
877.000000, 36.246672
876.000000, 36.278865
875.000000, 36.317709
874.000000, 36.359529
873.000000, 36.425083
872.000000, 36.487030
871.000000, 36.533542
870.000000, 36.578309
869.000000, 36.624870
868.000000, 36.659489
867.000000, 36.693977
866.000000, 36.727350
865.000000, 36.787150
864.000000, 36.862049
863.000000, 36.900070
862.000000, 36.945999
861.000000, 36.985653
860.000000, 36.847604
859.000000, 36.793745
858.000000, 36.846903
857.000000, 36.917155
856.000000, 36.986155
855.000000, 37.012183
854.000000, 37.048278
853.000000, 37.099029
852.000000, 37.155912
851.000000, 37.201160
850.000000, 37.243220
849.000000, 37.300386
848.000000, 37.362534
847.000000, 37.394428
846.000000, 37.436169
845.000000, 37.498411
844.000000, 37.528225
843.000000, 37.585776
842.000000, 37.645201
841.000000, 37.664847
840.000000, 37.723445
839.000000, 37.769610
838.000000, 37.828613
837.000000, 37.875111
836.000000, 37.920918
835.000000, 37.979460
834.000000, 38.035584
833.000000, 38.079682
832.000000, 38.108686
831.000000, 38.162139
830.000000, 38.202450
829.000000, 38.246962
828.000000, 38.309219
827.000000, 38.354737
826.000000, 38.391255
825.000000, 38.450503
824.000000, 38.505475
823.000000, 38.542400
822.000000, 38.603645
821.000000, 38.637315
820.000000, 38.697570
819.000000, 38.748976
818.000000, 38.790292
817.000000, 38.839851
816.000000, 38.887970
815.000000, 38.944067
814.000000, 38.981649
813.000000, 39.032098
812.000000, 39.085023
811.000000, 39.118533
810.000000, 39.167968
809.000000, 39.220646
808.000000, 39.245403
807.000000, 39.318108
806.000000, 39.369761
805.000000, 39.421355
804.000000, 39.458609
803.000000, 39.510172
802.000000, 39.549293
801.000000, 39.597430
800.000000, 39.657397
799.000000, 39.694215
798.000000, 39.751837
797.000000, 39.793942
796.000000, 39.823859
795.000000, 39.891061
794.000000, 39.948528
793.000000, 39.971445
792.000000, 40.029952
791.000000, 40.077781
790.000000, 40.107868
789.000000, 40.166851
788.000000, 40.212897
787.000000, 40.246182
786.000000, 40.292498
785.000000, 40.354245
784.000000, 40.389702
783.000000, 40.444509
782.000000, 40.486424
781.000000, 40.522893
780.000000, 40.569190
779.000000, 40.611114
778.000000, 40.643326
777.000000, 40.698592
776.000000, 40.750629
