nm, %T
1100.000000, 36.852506
1099.000000, 36.876168
1098.000000, 36.890147
1097.000000, 36.892595
1096.000000, 36.871695
1095.000000, 36.897826
1094.000000, 36.885761
1093.000000, 36.908587
1092.000000, 36.919461
1091.000000, 36.884629
1090.000000, 36.906997
1089.000000, 36.913254
1088.000000, 36.928197
1087.000000, 36.924684
1086.000000, 36.966502
1085.000000, 36.976116
1084.000000, 36.939474
1083.000000, 36.961864
1082.000000, 36.983223
1081.000000, 36.998433
1080.000000, 37.014458
1079.000000, 37.029168
1078.000000, 37.061119
1077.000000, 37.028812
1076.000000, 37.034117
1075.000000, 37.060237
1074.000000, 37.090523
1073.000000, 37.098085
1072.000000, 37.104555
1071.000000, 37.151684
1070.000000, 37.166262
1069.000000, 37.171982
1068.000000, 37.170380
1067.000000, 37.156212
1066.000000, 37.172849
1065.000000, 37.189609
1064.000000, 37.223851
1063.000000, 37.254165
1062.000000, 37.276063
1061.000000, 37.297731
1060.000000, 37.347604
1059.000000, 37.369637
1058.000000, 37.369989
1057.000000, 37.344818
1056.000000, 37.363922
1055.000000, 37.395830
1054.000000, 37.430567
1053.000000, 37.439263
1052.000000, 37.485488
1051.000000, 37.499316
1050.000000, 37.480261
1049.000000, 37.503803
1048.000000, 37.541374
1047.000000, 37.574396
1046.000000, 37.602963
1045.000000, 37.643557
1044.000000, 37.654104
1043.000000, 37.651233
1042.000000, 37.673644
1041.000000, 37.704112
1040.000000, 37.717193
1039.000000, 37.757648
1038.000000, 37.796513
1037.000000, 37.790323
1036.000000, 37.812937
1035.000000, 37.848461
1034.000000, 37.894572
1033.000000, 37.919941
1032.000000, 37.970393
1031.000000, 38.004685
1030.000000, 38.007975
1029.000000, 38.023201
1028.000000, 38.054953
1027.000000, 38.088584
1026.000000, 38.135332
1025.000000, 38.134103
1024.000000, 38.145430
1023.000000, 38.187257
1022.000000, 38.236361
1021.000000, 38.276951
1020.000000, 38.306977
1019.000000, 38.294695
1018.000000, 38.321349
1017.000000, 38.365836
1016.000000, 38.404725
1015.000000, 38.463121
1014.000000, 38.486014
1013.000000, 38.477633
1012.000000, 38.514220
1011.000000, 38.569074
1010.000000, 38.611362
1009.000000, 38.652403
1008.000000, 38.693780
1007.000000, 38.703744
1006.000000, 38.728118
1005.000000, 38.775726
1004.000000, 38.812235
1003.000000, 38.827841
1002.000000, 38.870024
1001.000000, 38.923099
1000.000000, 38.973289
999.000000, 39.020485
998.000000, 39.027164
997.000000, 39.053419
996.000000, 39.112898
995.000000, 39.163075
994.000000, 39.175863
993.000000, 39.219064
992.000000, 39.277085
991.000000, 39.329618
990.000000, 39.378892
989.000000, 39.393098
988.000000, 39.444122
987.000000, 39.493638
986.000000, 39.534748
985.000000, 39.536385
984.000000, 39.585891
