nm, %T
1100.000000, 26.044448
1099.000000, 26.005116
1098.000000, 25.992265
1097.000000, 25.979332
1096.000000, 25.983908
1095.000000, 25.975696
1094.000000, 25.972059
1093.000000, 26.007696
1092.000000, 26.009237
1091.000000, 26.010173
1090.000000, 25.957401
1089.000000, 25.940667
1088.000000, 25.950136
1087.000000, 25.945672
1086.000000, 25.961018
1085.000000, 25.964071
1084.000000, 25.967523
1083.000000, 25.902074
1082.000000, 25.913598
1081.000000, 25.908733
1080.000000, 25.918538
1079.000000, 25.926453
1078.000000, 25.941761
1077.000000, 25.940307
1076.000000, 25.948188
1075.000000, 25.910061
1074.000000, 25.887565
1073.000000, 25.887394
1072.000000, 25.891336
1071.000000, 25.909080
1070.000000, 25.936596
1069.000000, 25.936334
1068.000000, 25.933862
1067.000000, 25.928215
1066.000000, 25.882032
1065.000000, 25.856540
1064.000000, 25.893747
1063.000000, 25.891333
1062.000000, 25.903501
1061.000000, 25.922353
1060.000000, 25.952708
1059.000000, 25.971169
1058.000000, 25.955927
1057.000000, 25.913267
1056.000000, 25.911869
1055.000000, 25.933411
1054.000000, 25.947661
1053.000000, 25.954826
1052.000000, 25.984798
1051.000000, 25.981936
1050.000000, 25.947180
1049.000000, 25.947583
1048.000000, 25.954883
1047.000000, 25.979486
1046.000000, 25.996717
1045.000000, 26.005904
1044.000000, 26.015386
1043.000000, 25.984666
1042.000000, 25.989172
1041.000000, 26.014644
1040.000000, 26.032118
1039.000000, 26.036523
1038.000000, 26.066107
1037.000000, 26.052527
1036.000000, 26.044745
1035.000000, 26.062724
1034.000000, 26.077808
1033.000000, 26.094241
1032.000000, 26.123168
1031.000000, 26.121505
1030.000000, 26.106427
1029.000000, 26.123994
1028.000000, 26.149218
1027.000000, 26.170474
1026.000000, 26.183205
1025.000000, 26.155063
1024.000000, 26.151604
1023.000000, 26.184658
1022.000000, 26.214845
1021.000000, 26.246402
1020.000000, 26.254215
1019.000000, 26.236273
1018.000000, 26.233515
1017.000000, 26.258470
1016.000000, 26.291004
1015.000000, 26.316174
1014.000000, 26.325143
1013.000000, 26.307000
1012.000000, 26.320268
1011.000000, 26.349086
1010.000000, 26.377725
1009.000000, 26.393743
1008.000000, 26.381769
1007.000000, 26.409407
1006.000000, 26.432426
1005.000000, 26.455447
1004.000000, 26.483793
1003.000000, 26.493748
1002.000000, 26.496389
1001.000000, 26.511638
1000.000000, 26.535179
999.000000, 26.563988
998.000000, 26.554488
997.000000, 26.579187
996.000000, 26.607221
995.000000, 26.648295
994.000000, 26.668177
993.000000, 26.663071
992.000000, 26.695797
991.000000, 26.732098
990.000000, 26.753292
989.000000, 26.747252
988.000000, 26.774315
987.000000, 26.807549
986.000000, 26.821004
985.000000, 26.823016
984.000000, 26.848279
983.000000, 26.887572
982.000000, 26.926568
981.000000, 26.915170
980.000000, 26.942468
979.000000, 26.975773
978.000000, 26.974220
977.000000, 27.002217
976.000000, 27.050534
975.000000, 27.074460
974.000000, 27.086742
973.000000, 27.117397
972.000000, 27.137379
971.000000, 27.140850
970.000000, 27.182782
969.000000, 27.226568
968.000000, 27.264420
967.000000, 27.263137
966.000000, 27.275562
965.000000, 27.295822
964.000000, 27.330304
963.000000, 27.383306
962.000000, 27.420888
961.000000, 27.426485
960.000000, 27.446268
959.000000, 27.464508
958.000000, 27.504355
957.000000, 27.549487
956.000000, 27.582451
955.000000, 27.606907
954.000000, 27.633169
953.000000, 27.672009
952.000000, 27.712628
951.000000, 27.718407
950.000000, 27.743585
949.000000, 27.792260
948.000000, 27.825352
947.000000, 27.836815
946.000000, 27.854815
945.000000, 27.902700
944.000000, 27.961568
943.000000, 27.986872
942.000000, 28.012988
