nm, %T
1100.000000, 39.447472
1099.000000, 39.434900
1098.000000, 39.403059
1097.000000, 39.405939
1096.000000, 39.382239
1095.000000, 39.388054
1094.000000, 39.397515
1093.000000, 39.406287
1092.000000, 39.405505
1091.000000, 39.414183
1090.000000, 39.369588
1089.000000, 39.336874
1088.000000, 39.354611
1087.000000, 39.350382
1086.000000, 39.378826
1085.000000, 39.367209
1084.000000, 39.367588
1083.000000, 39.326562
1082.000000, 39.307761
1081.000000, 39.315275
1080.000000, 39.310758
1079.000000, 39.339977
1078.000000, 39.337333
1077.000000, 39.344809
1076.000000, 39.300425
1075.000000, 39.303046
1074.000000, 39.302624
1073.000000, 39.306992
1072.000000, 39.307069
1071.000000, 39.321431
1070.000000, 39.333576
1069.000000, 39.332126
1068.000000, 39.293867
1067.000000, 39.284606
1066.000000, 39.290068
1065.000000, 39.296593
1064.000000, 39.328517
1063.000000, 39.327180
1062.000000, 39.332590
1061.000000, 39.347945
1060.000000, 39.369120
1059.000000, 39.378540
1058.000000, 39.364999
1057.000000, 39.335188
1056.000000, 39.335267
1055.000000, 39.337179
1054.000000, 39.343472
1053.000000, 39.359986
1052.000000, 39.374767
1051.000000, 39.380876
1050.000000, 39.350411
1049.000000, 39.355524
1048.000000, 39.371435
1047.000000, 39.393855
1046.000000, 39.410640
1045.000000, 39.425260
1044.000000, 39.411555
1043.000000, 39.399533
1042.000000, 39.415472
1041.000000, 39.415009
1040.000000, 39.418605
1039.000000, 39.447058
1038.000000, 39.460392
1037.000000, 39.438831
1036.000000, 39.452644
1035.000000, 39.477899
1034.000000, 39.502795
1033.000000, 39.523234
1032.000000, 39.538258
1031.000000, 39.509842
1030.000000, 39.503290
1029.000000, 39.531354
1028.000000, 39.558277
1027.000000, 39.577040
1026.000000, 39.603466
1025.000000, 39.567273
1024.000000, 39.582060
1023.000000, 39.596822
1022.000000, 39.621521
1021.000000, 39.642538
1020.000000, 39.659740
1019.000000, 39.638631
1018.000000, 39.643589
1017.000000, 39.673391
1016.000000, 39.692717
1015.000000, 39.706018
1014.000000, 39.723061
1013.000000, 39.708195
1012.000000, 39.721917
1011.000000, 39.752667
1010.000000, 39.790208
1009.000000, 39.822474
1008.000000, 39.830751
1007.000000, 39.807554
1006.000000, 39.818817
1005.000000, 39.852194
1004.000000, 39.881696
1003.000000, 39.871681
1002.000000, 39.888619
1001.000000, 39.928341
1000.000000, 39.962066
999.000000, 39.991257
998.000000, 39.983950
997.000000, 39.997540
996.000000, 40.025762
995.000000, 40.054214
994.000000, 40.046465
993.000000, 40.074054
992.000000, 40.120173
991.000000, 40.139128
990.000000, 40.150769
989.000000, 40.156202
988.000000, 40.198196
987.000000, 40.229713
986.000000, 40.257753
985.000000, 40.237873
984.000000, 40.264503
983.000000, 40.321188
982.000000, 40.352147
981.000000, 40.344924
980.000000, 40.366634
979.000000, 40.388267
978.000000, 40.396038
977.000000, 40.429386
976.000000, 40.474938
975.000000, 40.506974
974.000000, 40.511264
973.000000, 40.533456
972.000000, 40.568003
971.000000, 40.609720
970.000000, 40.614085
969.000000, 40.620512
968.000000, 40.653685
967.000000, 40.681703
966.000000, 40.729525
965.000000, 40.769130
964.000000, 40.759551
963.000000, 40.786613
962.000000, 40.807925
961.000000, 40.832522
960.000000, 40.883931
959.000000, 40.939155
958.000000, 40.949875
957.000000, 40.940991
956.000000, 40.994421
955.000000, 41.040034
954.000000, 41.054169
953.000000, 41.082017
952.000000, 41.114381
951.000000, 41.160199
950.000000, 41.208174
949.000000, 41.219349
948.000000, 41.230146
947.000000, 41.271152
946.000000, 41.315044
945.000000, 41.323479
944.000000, 41.339728
943.000000, 41.384182
942.000000, 41.452821
941.000000, 41.502399
940.000000, 41.515680
939.000000, 41.520922
938.000000, 41.544065
937.000000, 41.581589
936.000000, 41.625275
935.000000, 41.659623
934.000000, 41.687293
933.000000, 41.730672
932.000000, 41.771474
931.000000, 41.792695
930.000000, 41.833573
929.000000, 41.867304
928.000000, 41.893315
927.000000, 41.930109
926.000000, 41.973303
925.000000, 42.013727
924.000000, 42.047642
923.000000, 42.085813
922.000000, 42.128152
921.000000, 42.156657
920.000000, 42.164165
919.000000, 42.193993
918.000000, 42.258434
917.000000, 42.317513
916.000000, 42.360032
915.000000, 42.378119
914.000000, 42.386818
913.000000, 42.426565
912.000000, 42.489097
911.000000, 42.538156
910.000000, 42.585004
909.000000, 42.625094
908.000000, 42.656560
907.000000, 42.692475
906.000000, 42.714434
905.000000, 42.751868
904.000000, 42.787122
903.000000, 42.868350
902.000000, 42.964712
901.000000, 42.991582
900.000000, 43.005038
899.000000, 43.047303
898.000000, 43.111842
897.000000, 43.111218
896.000000, 43.115631
895.000000, 43.153726
894.000000, 43.183904
893.000000, 43.200807
892.000000, 43.234722
891.000000, 43.306764
890.000000, 43.364171
889.000000, 43.385322
888.000000, 43.398275
887.000000, 43.430604
886.000000, 43.478293
885.000000, 43.550773
884.000000, 43.596312
883.000000, 43.629957
882.000000, 43.665706
881.000000, 43.681095
880.000000, 43.711675
879.000000, 43.764534
878.000000, 43.844054
877.000000, 43.880132
876.000000, 43.907560
875.000000, 43.950267
874.000000, 43.982178
873.000000, 44.029801
872.000000, 44.084315
871.000000, 44.131176
870.000000, 44.169413
869.000000, 44.213569
868.000000, 44.242683
867.000000, 44.264805
866.000000, 44.302061
865.000000, 44.381411
864.000000, 44.419595
863.000000, 44.439010
862.000000, 44.481027
861.000000, 44.502641
860.000000, 44.350672
859.000000, 44.343952
858.000000, 44.393015
857.000000, 44.416967
856.000000, 44.453241
855.000000, 44.510235
854.000000, 44.542282
853.000000, 44.588107
852.000000, 44.628923
851.000000, 44.651723
850.000000, 44.715803
849.000000, 44.754413
848.000000, 44.803522
847.000000, 44.832008
846.000000, 44.874078
845.000000, 44.910356
844.000000, 44.929267
843.000000, 44.970601
842.000000, 45.029467
841.000000, 45.053710
840.000000, 45.092819
839.000000, 45.136092
838.000000, 45.179029
837.000000, 45.225599
836.000000, 45.262297
835.000000, 45.288488
834.000000, 45.344743
833.000000, 45.391058
832.000000, 45.409964
831.000000, 45.452945
830.000000, 45.494372
829.000000, 45.501639
828.000000, 45.564948
827.000000, 45.619072
826.000000, 45.650006
825.000000, 45.689923
824.000000, 45.739261
823.000000, 45.745892
822.000000, 45.781951
821.000000, 45.824436
820.000000, 45.876190
819.000000, 45.920975
818.000000, 45.947963
817.000000, 45.976867
816.000000, 46.020855
815.000000, 46.069497
814.000000, 46.083097
813.000000, 46.133976
812.000000, 46.176376
811.000000, 46.174115
810.000000, 46.228997
809.000000, 46.290410
808.000000, 46.287803
807.000000, 46.337210
806.000000, 46.394151
805.000000, 46.420623
804.000000, 46.445436
803.000000, 46.497313
802.000000, 46.527587
801.000000, 46.549882
800.000000, 46.590493
799.000000, 46.615937
798.000000, 46.667192
797.000000, 46.697436
796.000000, 46.699255
795.000000, 46.758843
794.000000, 46.799774
793.000000, 46.811789
792.000000, 46.858547
791.000000, 46.891629
790.000000, 46.911473
789.000000, 46.953172
788.000000, 46.957114
787.000000, 46.996544
786.000000, 47.015638
785.000000, 47.064674
784.000000, 47.085136
783.000000, 47.104754
782.000000, 47.141496
781.000000, 47.159073
780.000000, 47.205611
779.000000, 47.225604
778.000000, 47.249292
777.000000, 47.271680
776.000000, 47.303116
775.000000, 47.321973
774.000000, 47.343822
773.000000, 47.371312
772.000000, 47.379098
771.000000, 47.419019
770.000000, 47.442509
769.000000, 47.436484
768.000000, 47.474799
767.000000, 47.503629
766.000000, 47.497615
765.000000, 47.531019
764.000000, 47.557018
763.000000, 47.556303
762.000000, 47.589118
761.000000, 47.629114
760.000000, 47.615185
759.000000, 47.627755
758.000000, 47.654548
757.000000, 47.651192
756.000000, 47.684609
755.000000, 47.696521
754.000000, 47.698583
753.000000, 47.701176
752.000000, 47.725666
751.000000, 47.714179
750.000000, 47.752066
749.000000, 47.748588
748.000000, 47.729938
747.000000, 47.750865
746.000000, 47.753379
745.000000, 47.751270
744.000000, 47.773041
743.000000, 47.763620
742.000000, 47.761261
741.000000, 47.770245
740.000000, 47.741816
739.000000, 47.750588
738.000000, 47.732939
737.000000, 47.752939
736.000000, 47.715827
735.000000, 47.732363
734.000000, 47.708859
733.000000, 47.714689
732.000000, 47.697483
731.000000, 47.673151
730.000000, 47.644344
729.000000, 47.653297
728.000000, 47.624887
727.000000, 47.602952
726.000000, 47.584949
725.000000, 47.562196
724.000000, 47.531912
723.000000, 47.504173
722.000000, 47.471794
721.000000, 47.444285
720.000000, 47.409968
719.000000, 47.372399
718.000000, 47.312788
717.000000, 47.283822
716.000000, 47.229005
715.000000, 47.190621
714.000000, 47.129885
713.000000, 47.066869
712.000000, 46.988457
711.000000, 46.947881
710.000000, 46.881920
709.000000, 46.837084
708.000000, 46.729130
707.000000, 46.646414
706.000000, 46.551928
705.000000, 46.480834
704.000000, 46.380019
703.000000, 46.286938
702.000000, 46.185853
701.000000, 46.075913
700.000000, 45.924137
699.000000, 45.825698
698.000000, 45.708237
697.000000, 45.561892
696.000000, 45.422968
695.000000, 45.259904
694.000000, 45.080126
693.000000, 44.948627
692.000000, 44.778816
691.000000, 44.598882
690.000000, 44.434711
689.000000, 44.230370
688.000000, 44.022943
687.000000, 43.842931
686.000000, 43.627001
685.000000, 43.420887
684.000000, 43.197713
683.000000, 42.992607
682.000000, 42.786873
681.000000, 42.579652
680.000000, 42.360140
679.000000, 42.135982
678.000000, 41.904396
677.000000, 41.701380
676.000000, 41.494507
675.000000, 41.301077
674.000000, 41.091574
673.000000, 40.906330
